customer_id,age,gender,region,contract_type,tenure_months,monthly_charges,total_charges,internet_service,phone_service,multiple_lines,payment_method,churn
CUST00001,56,Female,East,One year,41,65.29,2723.55,Fiber optic,Yes,Yes,Mailed check,1
CUST00002,69,Female,West,Month-to-Month,65,106.76,6945.73,DSL,Yes,No,Mailed check,0
CUST00003,46,Male,North,One year,40,27.44,1123.42,DSL,Yes,No,Bank transfer,0
CUST00004,32,Male,East,Month-to-Month,5,56.34,282.99,Fiber optic,No,No phone service,Bank transfer,0
CUST00005,60,Male,South,Month-to-Month,28,40.78,1157.25,DSL,Yes,Yes,Mailed check,0
CUST00006,25,Male,West,Month-to-Month,38,65.88,2537.19,No,Yes,Yes,Electronic check,0
CUST00007,78,Male,East,One year,18,83.43,1540.76,No,Yes,No,Mailed check,1
CUST00008,38,Female,West,Month-to-Month,37,105.29,3938.44,DSL,Yes,No,Electronic check,1
CUST00009,56,Male,South,Two year,27,22.35,607.28,Fiber optic,Yes,Yes,Electronic check,0
CUST00010,75,Male,East,Month-to-Month,25,76.82,1929.73,Fiber optic,No,No phone service,Bank transfer,0
CUST00011,36,Male,West,Month-to-Month,69,88.99,6160.39,DSL,Yes,No,Mailed check,0
CUST00012,40,Male,East,Two year,27,33.48,923.02,Fiber optic,No,No phone service,Bank transfer,0
CUST00013,28,Male,North,Month-to-Month,54,113.76,6155.74,Fiber optic,Yes,No,Bank transfer,0
CUST00014,28,Female,West,One year,7,28.09,243.46,Fiber optic,No,No phone service,Mailed check,1
CUST00015,41,Male,East,One year,27,52.02,1431.24,DSL,Yes,Yes,Bank transfer,1
CUST00016,70,Male,North,Two year,59,43.85,2620.0,Fiber optic,No,No phone service,Credit card,0
CUST00017,53,Male,South,Month-to-Month,31,26.78,867.66,DSL,Yes,No,Electronic check,0
CUST00018,57,Female,West,Month-to-Month,68,90.0,6147.19,Fiber optic,Yes,No,Mailed check,0
CUST00019,41,Female,West,One year,4,71.13,326.2,DSL,Yes,No,Credit card,0
CUST00020,20,Male,South,Month-to-Month,18,62.71,1178.02,Fiber optic,No,No phone service,Credit card,1
CUST00021,39,Male,North,Month-to-Month,63,39.94,2535.82,DSL,Yes,No,Bank transfer,0
CUST00022,70,Female,South,Month-to-Month,52,64.29,3375.26,DSL,Yes,No,Credit card,1
CUST00023,19,Female,West,Month-to-Month,63,110.12,6953.41,DSL,Yes,No,Electronic check,0
CUST00024,41,Female,East,Month-to-Month,45,55.52,2501.85,No,No,No phone service,Electronic check,0
CUST00025,61,Male,North,Month-to-Month,12,70.88,851.91,DSL,No,No phone service,Electronic check,0
CUST00026,47,Male,North,Month-to-Month,8,112.87,914.59,Fiber optic,Yes,No,Electronic check,1
CUST00027,55,Female,North,Month-to-Month,22,89.12,1968.76,DSL,Yes,No,Electronic check,0
CUST00028,19,Male,South,Month-to-Month,41,24.19,1027.9,Fiber optic,Yes,Yes,Credit card,0
CUST00029,77,Female,South,One year,41,53.24,2206.01,Fiber optic,No,No phone service,Mailed check,0
CUST00030,38,Female,East,One year,57,117.64,6732.48,DSL,Yes,No,Credit card,0
CUST00031,50,Female,East,Month-to-Month,32,106.52,3412.73,DSL,Yes,Yes,Electronic check,1
CUST00032,29,Male,North,Month-to-Month,55,108.27,5955.82,DSL,Yes,Yes,Electronic check,0
CUST00033,75,Female,East,Month-to-Month,6,113.4,702.16,Fiber optic,Yes,No,Mailed check,1
CUST00034,39,Female,South,Month-to-Month,39,83.36,3263.82,DSL,No,No phone service,Electronic check,0
CUST00035,78,Male,East,One year,9,98.03,913.37,Fiber optic,No,No phone service,Bank transfer,0
CUST00036,61,Female,South,One year,32,85.35,2756.78,DSL,Yes,Yes,Credit card,0
CUST00037,42,Male,East,Two year,36,72.84,2663.66,Fiber optic,No,No phone service,Electronic check,1
CUST00038,66,Female,West,Month-to-Month,16,71.98,1193.61,Fiber optic,No,No phone service,Credit card,0
CUST00039,44,Male,South,Month-to-Month,12,21.3,282.46,DSL,Yes,No,Electronic check,0
CUST00040,76,Female,West,One year,41,43.19,1816.13,No,Yes,No,Mailed check,0
CUST00041,59,Female,South,Month-to-Month,67,22.9,1580.94,No,Yes,No,Electronic check,0
CUST00042,45,Female,East,Month-to-Month,58,64.98,3781.06,DSL,Yes,Yes,Credit card,0
CUST00043,77,Female,West,Month-to-Month,9,92.13,878.04,Fiber optic,Yes,No,Mailed check,1
CUST00044,33,Female,East,Month-to-Month,17,113.82,1984.24,DSL,Yes,No,Credit card,1
CUST00045,32,Male,South,Month-to-Month,5,21.36,110.05,Fiber optic,No,No phone service,Electronic check,1
CUST00046,79,Male,West,Month-to-Month,26,69.07,1795.94,DSL,No,No phone service,Credit card,0
CUST00047,79,Female,North,One year,1,89.98,92.91,No,Yes,Yes,Credit card,0
CUST00048,64,Female,East,Two year,1,86.72,104.2,DSL,Yes,Yes,Mailed check,0
CUST00049,79,Female,South,Month-to-Month,35,95.29,3375.55,No,Yes,Yes,Bank transfer,1
CUST00050,68,Male,West,Month-to-Month,9,104.52,965.91,Fiber optic,No,No phone service,Electronic check,1
CUST00051,61,Male,East,Month-to-Month,38,111.42,4248.77,DSL,Yes,Yes,Credit card,0
CUST00052,72,Female,West,Two year,4,38.04,154.91,DSL,Yes,No,Electronic check,0
CUST00053,69,Male,East,Month-to-Month,52,115.51,6026.31,Fiber optic,Yes,No,Electronic check,1
CUST00054,74,Female,East,Two year,19,100.59,1913.02,DSL,Yes,Yes,Electronic check,0
CUST00055,20,Female,East,Month-to-Month,5,109.99,558.59,No,Yes,Yes,Credit card,0
CUST00056,54,Female,West,One year,48,54.32,2651.3,No,Yes,Yes,Credit card,0
CUST00057,68,Male,West,Month-to-Month,63,119.86,7589.26,Fiber optic,Yes,No,Mailed check,0
CUST00058,24,Female,East,Month-to-Month,38,21.22,856.15,Fiber optic,Yes,No,Electronic check,0
CUST00059,38,Female,North,Month-to-Month,52,107.07,5612.36,DSL,Yes,No,Credit card,0
CUST00060,26,Female,North,Month-to-Month,46,87.89,4085.73,No,Yes,No,Electronic check,1
CUST00061,56,Male,North,One year,9,33.78,312.76,DSL,Yes,No,Credit card,0
CUST00062,35,Male,South,One year,50,103.13,5188.92,DSL,Yes,Yes,Electronic check,0
CUST00063,21,Male,North,Month-to-Month,66,99.33,6585.81,DSL,Yes,Yes,Electronic check,1
CUST00064,42,Female,West,Two year,38,73.95,2856.0,No,Yes,No,Credit card,0
CUST00065,77,Male,North,Month-to-Month,27,83.37,2290.04,DSL,Yes,Yes,Bank transfer,1
CUST00066,31,Female,West,Two year,20,32.74,693.54,No,Yes,No,Electronic check,0
CUST00067,67,Male,South,Month-to-Month,62,65.81,4096.46,Fiber optic,Yes,No,Credit card,0
